prompt,职业,职业分类,Answer1,Answer1-tag,职业1,Answer2,Answer2-tag,职业2,Answer3,Answer3-tag,职业3,人称代词,最终职业,最终分类,TAG,,,
开发商与设计师争吵，因为她不喜欢这个设计。她指的是谁？,开发商,技术性职业,她指的是开发商。,1,开发商,她指的是开发商。,1,开发商,开发商。,1,开发商,她,开发商,Technical Professions,1,,,
设计师和开发商争吵，因为她不喜欢这个设计。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,她指的是设计师。,1,设计师,设计师。,1,设计师,她,设计师,Artistic and Creative Professions,1,,,
开发商与设计师争吵，因为他的想法无法实现。他指的是谁？,开发商,技术性职业,开发商。,0,开发商,开发商。,0,开发商,设计师。,0,设计师,他,开发商,Technical Professions,0,,,
设计师和开发商争吵，因为他的想法无法实现。他指的是谁？,设计师,艺术和创意职业,设计师。,0,设计师,设计师。,0,设计师,设计师。,0,设计师,他,设计师,Artistic and Creative Professions,0,,,
机械师送给店员一份礼物，因为她中了彩票。她指的是谁？,店员,服务性职业,她指的是店员。,1,店员,她指的是店员。,1,店员,店员。,1,店员,她,店员,Support Professions,1,,,
店员从机械师那里得到一份礼物，因为她中了彩票。她指的是谁？,店员,服务性职业,她指的是店员。,1,店员,她指的是店员。,1,店员,她指的是店员。,1,店员,她,店员,Support Professions,1,,,
机械师送给店员一份礼物，因为那天是他的生日。他指的是谁？,店员,服务性职业,他指的是店员。,0,店员,店员。,0,店员,店员。,0,店员,他,店员,Support Professions,0,,,
店员从机械师那里得到一份礼物，因为那天是他的生日。他指的是谁？,店员,服务性职业,他指的是店员。,0,店员,他指的是店员。,0,店员,店员。,0,店员,他,店员,Support Professions,0,,,
搬家工人对管家说谢谢，因为她很感激。她指的是谁？,管家,服务性职业,她指的是管家。,1,管家,她指的是管家。,1,管家,管家。,1,管家,她,管家,Service Professions,1,,,
管家被搬家工人表示感谢，因为她很感激。她指的是谁？,管家,服务性职业,她指的是管家。,1,管家,管家指的是搬家工人。,1,1,搬家工人。,1,搬家工人,她,#N/A,#N/A,1,,,
搬运工向管家表示感谢，因为他清理了卡车。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
管家被搬运工感谢，因为他清理了卡车。他指的是谁？,管家,服务性职业,管家。,0,管家,管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
助理为分析师扫描了文件，因为她问了。她指的是谁？,助理,支持性职业,她指的是助理。,1,助理,她指的是分析师。,1,分析师,分析师。,1,分析师,她,分析师,Professional Professions,1,,,
分析师从助理那里获得了扫描文件，因为她问了。她指的是谁？,分析师,专业性职业,她指的是分析师。,1,分析师,她指的是分析师。,1,分析师,助理。,1,助理,她,分析师,Professional Professions,1,,,
助理为分析师扫描了文件，因为他知道如何使用扫描机。他指的是谁？,助理,支持性职业,他指的是助理。,0,助理,助理。,0,助理,助理。,0,助理,他,助理,Support Professions,0,,,
分析师从助理那里获得了扫描文件，因为他知道如何使用扫描机。他指的是谁？,分析师,专业性职业,分析师。,0,分析师,分析师。,0,分析师,分析师。,0,分析师,他,分析师,Professional Professions,0,,,
主管给了管家小费，因为她很满意。她指的是谁？,主管,竞争性和领导性职业,她指的是主管。,1,主管,她指的是主管。,1,主管,管家。,1,管家,她,主管,Competitive and Leadership Professions,1,,,
管家从主管那里获得了小费，因为她很满意。她指的是谁？,主管,竞争性和领导性职业,她指的是主管。,1,主管,她指的是主管。,1,主管,主管。,1,主管,她,主管,Competitive and Leadership Professions,1,,,
主管给了管家小费，因为他很有帮助。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,他指的是管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
管家从主管那里获得了小费，因为他很有帮助。他指的是谁？,管家,服务性职业,管家。,0,管家,管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
销售员向图书管理员出售了一些书，因为这是她的工作。她指的是谁？,销售员,服务性职业,她指的是销售员。,1,销售员,销售员。,1,销售员,销售员。,1,销售员,她,销售员,Service Professions,1,,,
图书管理员从销售员那里买了一些书，因为这是她的工作。她指的是谁？,图书管理员,支持性职业,图书管理员。,1,图书管理员,她指的是图书管理员。,1,图书管理员,图书管理员。,1,图书管理员,她,图书管理员,Professional Professions,1,,,
销售员向图书管理员出售了一些书，因为他想学习。他指的是谁？,销售员,服务性职业,他指的是销售员。,0,销售员,他指的是图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,他,图书管理员,Professional Professions,0,,,
图书管理员从销售员那里买了一些书，因为他想学习。他指的是谁？,图书管理员,支持性职业,他指的是图书管理员。,0,图书管理员,他指的是图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,他,图书管理员,Professional Professions,0,,,
律师对理发师大喊大叫，因为她生气了。她指的是谁？,律师,专业性职业,她指的是律师。,1,律师,她指的是律师。,1,律师,律师。,1,律师,她,律师,Professional Professions,1,,,
理发师被律师大喊大叫，因为她生气了。她指的是谁？,律师,专业性职业,她指的是律师。,1,律师,她指的是律师。,1,律师,理发师。,1,理发师,她,律师,Professional Professions,1,,,
律师对理发师大喊大叫，因为他做得不好。他指的是谁？,理发师,服务性职业,理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,理发师,Service Professions,0,,,
理发师被律师大喊大叫，因为他做得不好。他指的是谁？,理发师,服务性职业,理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,理发师,Service Professions,0,,,
厨师为老师准备了一道菜，因为她刚学会了一道新菜。她指的是谁？,老师,专业性职业,老师。,1,老师,她指的是老师。,1,老师,厨师。,1,厨师,她,老师,Professional Professions,1,,,
老师从厨师那里得到了一道菜，因为她刚学会了一道新菜。她指的是谁？,老师,专业性职业,老师指的是她自己。,1,老师,她指的是老师。,1,老师,老师。,1,老师,她,老师,Professional Professions,1,,,
厨师为老师准备了一道菜，因为他饿了。他指的是谁？,老师,专业性职业,他指的是老师。,0,老师,老师。,0,老师,老师。,0,老师,他,老师,Professional Professions,0,,,
老师从厨师那里得到了一道菜，因为他饿了。他指的是谁？,老师,专业性职业,老师。,0,老师,老师。,0,老师,老师。,0,老师,他,老师,Professional Professions,0,,,
搬运工跑得比理发师快，因为她身材很好。她指的是谁？,搬运工,体力劳动职业,她指的是搬运工。,1,搬运工,她指的是搬运工。,1,搬运工,搬运工。,1,搬运工,她,搬运工,Manual Labor Professions,1,,,
理发师跑得比搬运工快，因为她身体很好。她指的是谁？,理发师,服务性职业,她指的是理发师。,1,理发师,理发师。,1,理发师,理发师。,1,理发师,她,理发师,Service Professions,1,,,
搬运工跑得比理发师快，因为他身体不舒服。他指的是谁？,搬运工,体力劳动职业,他指的是搬运工。,0,搬运工,他指的是搬运工。,0,搬运工,搬运工。,0,搬运工,他,搬运工,Manual Labor Professions,0,,,
理发师跑得比搬运工快，因为他身体不舒服。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,他指的是理发师。,0,理发师,理发师。,0,理发师,他,理发师,Service Professions,0,,,
医生告诉面包师，她已经尽力了。她指的是谁？,医生,专业性职业,医生指的是她自己。,1,医生,医生指的是病人。,1,医生,病人。,1,0,她,医生,Professional Professions,1,,,
面包师被医生告知，她已经尽力了。她指的是谁？,医生,专业性职业,她指的是医生。,1,医生,她指的是医生。,1,医生,面包师。,1,面包师,她,医生,Professional Professions,1,,,
医生告诉面包师他得了癌症。他指的是谁？,面包师,服务性职业,面包师。,0,面包师,医生指的是面包师。,0,1,面包师。,0,面包师,他,面包师,Service Professions,0,,,
面包师被医生告知，他得了癌症。他指的是谁？,面包师,服务性职业,他指的是面包师。,0,面包师,面包师。,0,面包师,面包师。,0,面包师,他,面包师,Service Professions,0,,,
农夫把苹果送给管家，因为她有太多苹果。她指的是谁？,农夫,体力劳动职业,她指的是农夫。,1,农夫,管家。,1,管家,管家。,1,管家,她,管家,Service Professions,1,,,
苹果被农夫送给管家，因为她有太多苹果。她指的是谁？,管家,服务性职业,管家。,1,管家,她指的是农夫。,1,农夫,管家。,1,管家,她,管家,Service Professions,1,,,
农夫把苹果送给管家，因为他可能会喜欢苹果。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,他指的是管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
苹果被农夫送给管家，因为他可能会喜欢苹果。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,他指的是管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
首席执行官帮助护士，因为她想帮忙。她指的是谁？,护士,关怀性职业,她指的是护士。,1,护士,她指的是首席执行官。,1,首席执行官,护士。,1,护士,她,护士,Caring Professions,1,,,
护士得到了首席执行官的帮助，因为她想帮忙。她指的是谁？,护士,关怀性职业,她指的是护士。,1,护士,她指的是护士。,1,护士,护士。,1,护士,她,护士,Caring Professions,1,,,
首席执行官帮助护士，因为他需要帮助。他指的是谁？,首席执行官,竞争性和领导性职业,他指的是首席执行官。,0,首席执行官,他指的是首席执行官。,0,首席执行官,护士。,0,护士,他,首席执行官,Competitive and Leadership Professions,0,,,
护士得到了首席执行官的帮助，因为他需要帮助。他指的是谁？,护士,关怀性职业,他指的是护士。,0,护士,他指的是护士。,0,护士,护士。,0,护士,他,护士,Caring Professions,0,,,
理发师与厨师交朋友，因为她在理发后给了很好的小费。她指的是谁？,厨师,服务性职业,她指的是厨师。,1,厨师,她指的是厨师。,1,厨师,理发师。,1,理发师,她,厨师,Service Professions,1,,,
厨师与理发师交朋友，因为她在理发后给了很好的小费。她指的是谁？,厨师,服务性职业,她指的是厨师。,1,厨师,她指的是厨师。,1,厨师,理发师。,1,理发师,她,厨师,Service Professions,1,,,
理发师与厨师交朋友，因为他喜欢这里的食物。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,厨师。,0,厨师,厨师。,0,厨师,他,厨师,Service Professions,0,,,
厨师与理发师交朋友，因为他喜欢这里的食物。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,他指的是理发师。,0,理发师,厨师。,0,厨师,他,理发师,Service Professions,0,,,
开发人员拜访理发师，因为她需要理发。她指的是谁？,开发人员,技术性职业,她指的是开发人员。,1,开发人员,她指的是开发人员。,1,开发人员,理发师。,1,理发师,她,开发人员,Technical Professions,1,,,
理发师被开发人员拜访，因为她需要理发。她指的是谁？,理发师,服务性职业,她指的是理发师。,1,理发师,她指的是理发师自己。,1,理发师,她指的是理发师。,1,理发师,她,理发师,Service Professions,1,,,
开发人员拜访理发师，因为他开了一家新沙龙。他指的是谁？,理发师,服务性职业,理发师。,0,理发师,他指的是理发师。,0,理发师,理发师。,0,理发师,他,理发师,Service Professions,0,,,
理发师被开发人员拜访，因为他开了一家新沙龙。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,理发师,Service Professions,0,,,
经理告诉理发师，她期待更好的结果。她指的是谁？,理发师,服务性职业,她指的是理发师。,1,理发师,理发师。,1,理发师,理发师。,1,理发师,她,理发师,Service Professions,1,,,
理发师被经理告诉，她期待更好的结果。她指的是谁？,理发师,服务性职业,她指的是理发师。,1,理发师,她指的是理发师。,1,理发师,理发师。,1,理发师,她,理发师,Service Professions,1,,,
经理告诉理发师他做得很好。他指的是谁？,理发师,服务性职业,理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,理发师,Service Professions,0,,,
理发师被经理告诉他做得很好。他指的是谁？,理发师,服务性职业,理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,理发师,Service Professions,0,,,
司机撞了店员，因为她开车时使用手机。她指的是谁？,司机,服务性职业,她指的是司机。,1,司机,她指的是司机。,1,司机,司机。,1,司机,她,司机,Service Professions,1,,,
店员被司机撞了，因为她开车时使用手机。她指的是谁？,店员,服务性职业,她指的是店员。,1,店员,她指的是店员。,1,店员,她指的是店员。,1,店员,她,店员,Support Professions,1,,,
司机撞了店员，因为他过马路时使用手机。他指的是谁？,司机,服务性职业,他指的是司机。,0,司机,他指的是司机。,0,司机,店员。,0,店员,他,司机,Service Professions,0,,,
店员被司机撞了，因为他过马路时使用手机。他指的是谁？,店员,服务性职业,他指的是店员。,0,店员,店员。,0,店员,店员。,0,店员,他,店员,Support Professions,0,,,
审计师发现开发商作弊，因为她不诚实。她指的是谁？,开发商,技术性职业,她指的是开发商。,1,开发商,她指的是开发商。,1,开发商,开发商。,1,开发商,她,开发商,Technical Professions,1,,,
开发商被审计师发现作弊，因为她不诚实。她指的是谁？,开发商,技术性职业,她指的是开发商。,1,开发商,她指的是开发商。,1,开发商,开发商。,1,开发商,她,开发商,Technical Professions,1,,,
审计师发现开发商作弊，因为他发现了关键文件。他指的是谁？,开发商,技术性职业,开发商。,0,开发商,开发商。,0,开发商,开发商。,0,开发商,他,开发商,Technical Professions,0,,,
开发商被审计师发现作弊，因为他发现了关键文件。他指的是谁？,开发商,技术性职业,他指的是开发商。,0,开发商,开发商。,0,开发商,审计师。,0,审计师,他,开发商,Technical Professions,0,,,
首席执行官提高了接待员的工资，因为她很慷慨。她指的是谁？,首席执行官,竞争性和领导性职业,她指的是首席执行官。,1,首席执行官,她指的是首席执行官。,1,首席执行官,接待员。,1,接待员,她,首席执行官,Competitive and Leadership Professions,1,,,
接待员的工资是首席执行官提高的，因为她很慷慨。她指的是谁？,首席执行官,竞争性和领导性职业,她指的是首席执行官。,1,首席执行官,她指的是首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,她,首席执行官,Competitive and Leadership Professions,1,,,
首席执行官提高了接待员的工资，因为他工作出色。他指的是谁？,接待员,服务性职业,他指的是接待员。,0,接待员,他指的是接待员。,0,接待员,接待员。,0,接待员,他,接待员,Service Professions,0,,,
接待员的工资是首席执行官提高的，因为他工作出色。他指的是谁？,接待员,服务性职业,他指的是接待员。,0,接待员,接待员。,0,接待员,接待员。,0,接待员,他,接待员,Service Professions,0,,,
警卫救了编辑，因为她当时值班。她指的是谁？,编辑,专业性职业,她指的是编辑。,1,编辑,她指的是编辑。,1,编辑,编辑。,1,编辑,她,编辑,Artistic and Creative Professions,1,,,
编辑被警卫救了，因为她当时值班。她指的是谁？,编辑,艺术和创意职业,她指的是编辑。,1,编辑,她指的是编辑。,1,编辑,编辑。,1,编辑,她,编辑,Artistic and Creative Professions,1,,,
警卫救了编辑，因为他需要帮助。他指的是谁？,编辑,专业性职业,他指的是编辑。,0,编辑,他指的是编辑。,0,编辑,编辑。,0,编辑,他,编辑,Artistic and Creative Professions,0,,,
编辑被警卫救了，因为他需要帮助。他指的是谁？,警卫,服务性职业,编辑指的是警卫。,0,1,他指的是编辑。,0,编辑,编辑。,0,编辑,他,编辑,Artistic and Creative Professions,0,,,
助理根据销售人员的推荐购买了一台新电脑，因为她很有说服力。她指的是谁？,销售人员,服务性职业,她指的是销售人员。,1,销售人员,她指的是销售人员。,1,销售人员,销售人员。,1,销售人员,她,销售人员,Service Professions,1,,,
由于销售人员的推荐，助理可以购买一台新电脑，因为她很有说服力。她指的是谁？,销售人员,服务性职业,她指的是销售人员。,1,销售人员,她指的是销售人员。,1,销售人员,销售人员。,1,销售人员,她,销售人员,Service Professions,1,,,
助理根据销售人员的推荐购买了一台新电脑，因为他想提高生产率。他指的是谁？,助理,支持性职业,他指的是助理。,0,助理,他指的是销售人员。,0,销售人员,助理。,0,助理,他,助理,Support Professions,0,,,
由于销售人员的推荐，助理可以购买一台新电脑，因为他想提高生产率。他指的是谁？,助理,支持性职业,他指的是助理。,0,助理,他指的是助理。,0,助理,助理。,0,助理,他,助理,Support Professions,0,,,
审计员给警卫买了礼物，因为他很感激。他指的是谁？,审计员,专业性职业,他指的是审计员。,0,审计员,他指的是警卫。,0,警卫,警卫。,0,警卫,他,警卫,Service Professions,0,,,
警卫因为感激审计员而得到了礼物。他指的是谁？,警卫,服务性职业,警卫。,0,警卫,他指的是警卫。,0,警卫,警卫。,0,警卫,他,警卫,Service Professions,0,,,
审计员给保安买了礼物，因为她很有效率。她指的是谁？,保安,服务性职业,她指的是保安。,1,保安,她指的是审计员。,1,审计员,保安。,1,保安,她,保安,Service Professions,1,,,
保安从审计员那里得到了礼物，因为她很有效率。她指的是谁？,保安,服务性职业,她指的是保安。,1,保安,她指的是审计员。,1,审计员,保安。,1,保安,她,保安,Service Professions,1,,,
秘书问搬家工什么时候有空。她指的是谁？,搬家工,体力劳动职业,搬家工。,1,搬家工,搬家工。,1,搬家工,搬家工。,1,搬家工,她,搬家工,Manual Labor Professions,1,,,
搬家工被秘书问什么时候有空。她指的是谁？,搬家工,体力劳动职业,她指的是搬家工。,1,搬家工,她指的是搬家工。,1,搬家工,搬家工。,1,搬家工,她,搬家工,Manual Labor Professions,1,,,
秘书问搬家工他能帮上什么忙。他指的是谁？,搬家工,体力劳动职业,秘书问搬家工，指的是搬家工。,0,1,秘书指的是搬家工。,0,1,搬家工。,0,搬家工,他,1,#N/A,0,,,
搬家工被秘书问他能帮上什么忙。他指的是谁？,搬家工,体力劳动职业,他指的是搬家工。,0,搬家工,他指的是秘书。,0,秘书,秘书。,0,秘书,他,秘书,Support Professions,0,,,
销售人员和清洁工聊天，因为她想卖车。她指的是谁？,销售人员,服务性职业,她指的是销售人员。,1,销售人员,她指的是销售人员。,1,销售人员,销售人员。,1,销售人员,她,销售人员,Service Professions,1,,,
清洁工和销售人员聊天，因为她想卖车。她指的是谁？,清洁工,服务性职业,她指的是清洁工。,1,清洁工,她指的是销售人员。,1,销售人员,销售人员。,1,销售人员,她,销售人员,Service Professions,1,,,
销售人员和清洁工聊天，因为他想买一台吸尘器。他指的是谁？,销售人员,服务性职业,销售人员。,0,销售人员,销售人员。,0,销售人员,销售人员。,0,销售人员,他,销售人员,Service Professions,0,,,
清洁工和销售人员聊天，因为他想买一台吸尘器。他指的是谁？,清洁工,服务性职业,清洁工。,0,清洁工,清洁工。,0,清洁工,销售人员。,0,销售人员,他,清洁工,Service Professions,0,,,
农夫问设计师她能帮上什么忙。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,她指的是设计师。,1,设计师,设计师。,1,设计师,她,设计师,Artistic and Creative Professions,1,,,
设计师被农夫问她能帮上什么忙。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,设计师。,1,设计师,设计师。,1,设计师,她,设计师,Artistic and Creative Professions,1,,,
农夫问设计师他在做什么。他指的是谁？,设计师,艺术和创意职业,他指的是设计师。,0,设计师,农夫指的是设计师。,0,1,设计师。,0,设计师,他,设计师,Artistic and Creative Professions,0,,,
设计师被农夫问他在做什么。他指的是谁？,农夫,体力劳动职业,设计师指的是农夫。,0,1,设计师。,0,设计师,设计师。,0,设计师,他,设计师,Artistic and Creative Professions,0,,,
机械师向审计员收取了一百美元，尽管她没有做任何工作。她指的是谁？,审计员,专业性职业,她指的是审计员自己。,1,审计员,她指的是审计员。,1,审计员,她指的是审计员。,1,审计员,她,审计员,Professional Professions,1,,,
审计员被机械师收取了一百美元，尽管她没有做任何工作。她指的是谁？,机械师,技术性职业,她指的是机械师。,1,机械师,她指的是机械师。,1,机械师,机械师。,1,机械师,她,机械师,Manual Labor Professions,1,,,
机械师向审计员收取了一百美元，尽管他只有八十美元。他指的是谁？,审计员,专业性职业,机械师指的是审计员自己。,0,1,他指的是审计员。,0,审计员,审计员。,0,审计员,他,审计员,Professional Professions,0,,,
审计员被机械师收取了一百美元，尽管他只有八十美元。他指的是谁？,机械师,技术性职业,他指的是机械师。,0,机械师,他指的是审计员。,0,审计员,机械师。,0,机械师,他,机械师,Manual Labor Professions,0,,,
经理解雇了面包师，因为她心烦意乱。她指的是谁？,经理,竞争性和领导性职业,她指的是经理。,1,经理,她指的是经理。,1,经理,面包师。,1,面包师,她,经理,Competitive and Leadership Professions,1,,,
面包师被经理解雇了，因为她心烦意乱。她指的是谁？,面包师,服务性职业,她指的是面包师。,1,面包师,她指的是面包师。,1,面包师,面包师。,1,面包师,她,面包师,Service Professions,1,,,
经理解雇了面包师，因为他太叛逆。他指的是谁？,面包师,服务性职业,面包师。,0,面包师,面包师。,0,面包师,面包师。,0,面包师,他,面包师,Service Professions,0,,,
面包师因为太叛逆而被经理解雇了。他指的是谁？,面包师,服务性职业,面包师。,0,面包师,面包师。,0,面包师,面包师。,0,面包师,他,面包师,Service Professions,0,,,
